zip_code;county;voivodeship;number_of_eligible_voters;number_of_votes;robert _biedron;krzysztof_bosak;andrzej_duda;szymon_holownia;marek_jakubiak;wladyslaw_kosniak_kamysz;miroslaw_piotrowski;pawel_tanajno;rafal_trzaskowski;waldemar_witkowski;stanislaw_zoltek
20100;boleslawiecki;dolnoslaskie;68554;41035;852;2759;17053;6726;52;633;29;50;12732;52;97
20200;dzierzoniowski;dolnoslaskie;78876;46340;1002;2824;20403;6336;55;687;46;82;14770;46;89
20300;glogowski;dolnoslaskie;67357;42019;980;2499;18568;5969;42;736;44;57;13000;42;82
20400;gorowski;dolnoslaskie;27089;14602;292;906;7307;1918;21;378;12;14;3722;10;22
20500;jaworski;dolnoslaskie;39708;23314;479;1528;11139;2607;28;717;27;22;6708;15;44
20600;jeleniogorski;dolnoslaskie;51306;31481;713;1564;9898;5177;50;570;27;46;13331;48;57
20700;kamiennogorski;dolnoslaskie;34163;20006;418;1096;8278;2755;19;349;19;31;6977;20;44
20800;klodzki;dolnoslaskie;127323;73793;1548;4240;30301;10238;95;1574;71;120;25372;86;148
20900;legnicki;dolnoslaskie;42292;25833;470;1726;12585;3012;37;583;24;36;7286;27;47
21000;lubanski;dolnoslaskie;42803;25054;534;1278;9978;4397;35;471;17;43;8241;26;34
21100;lubinski;dolnoslaskie;80840;51469;1182;3699;24706;6010;102;854;56;72;14616;49;123
21200;lwowecki;dolnoslaskie;36031;20049;470;1073;8349;3135;41;478;35;34;6388;17;29
21300;milicki;dolnoslaskie;28966;17296;329;1026;8346;2138;17;437;16;19;4912;19;37
21400;olesnicki;dolnoslaskie;82925;50817;1012;3296;20738;8267;79;1087;39;74;16059;61;105
21500;olawski;dolnoslaskie;58842;38904;901;2784;16446;5447;61;701;47;50;12374;30;63
21600;polkowicki;dolnoslaskie;47773;28913;577;2142;15285;3737;49;617;24;46;6356;24;56
21700;strzelinski;dolnoslaskie;35190;21470;381;1119;10819;2604;34;451;11;25;5945;29;52
21800;sredzki;dolnoslaskie;42697;26777;465;2124;11913;3166;41;610;32;34;8289;33;70
21900;swidnicki;dolnoslaskie;122236;74763;1659;4772;30175;10191;105;1292;76;102;26132;90;169
22000;trzebnicki;dolnoslaskie;66749;42365;881;2867;18463;5503;70;916;32;77;13428;45;83
22100;walbrzyski;dolnoslaskie;43648;25495;611;1414;9184;4136;33;467;17;40;9518;15;60
22200;wolowski;dolnoslaskie;37919;22851;486;1489;10543;3007;31;444;25;24;6720;32;50
22300;wroclawski;dolnoslaskie;114949;82173;1879;5879;28331;12421;163;1735;62;154;31210;128;211
22400;zabkowicki;dolnoslaskie;51698;29800;526;1508;14355;3358;50;887;26;47;8971;30;42
22500;zgorzelecki;dolnoslaskie;69729;41865;936;2546;17001;6963;73;671;38;52;13453;51;81
22600;zlotoryjski;dolnoslaskie;34114;20132;370;993;9129;2866;45;415;17;29;6203;17;48
26100;Jelenia Gora;dolnoslaskie;61184;38831;1082;1945;12048;5198;62;596;47;68;17654;58;73
26200;Legnica;dolnoslaskie;73001;45671;1092;2849;17842;5918;63;758;45;77;16876;54;97
26400;Wroclaw;dolnoslaskie;503769;355769;13898;25592;99770;51028;714;6381;362;760;154972;946;1346
26500;Walbrzych;dolnoslaskie;82943;47506;1220;2256;16048;6822;56;715;30;71;20142;63;83
40100;aleksandrowski;kujawsko-pomorskie;44064;27072;535;1733;12662;3313;33;732;29;37;7922;23;53
40200;brodnicki;kujawsko-pomorskie;60584;35355;514;2021;16956;5210;60;1295;40;47;9112;30;70
40300;bydgoski;kujawsko-pomorskie;90096;58741;1421;3540;19107;11444;82;1279;58;81;21507;71;151
40400;chelminski;kujawsko-pomorskie;38753;21917;452;1313;9278;3579;37;595;17;20;6568;16;42
40500;golubsko-dobrzynski;kujawsko-pomorskie;35185;20109;393;1180;10221;2845;32;601;16;28;4735;25;33
40600;grudziadzki;kujawsko-pomorskie;30786;16668;325;1169;8072;2350;20;543;18;21;4101;20;29
40700;inowroclawski;kujawsko-pomorskie;124492;74078;1635;4406;29504;10838;107;1941;64;92;25274;87;130
40800;lipnowski;kujawsko-pomorskie;51702;27567;522;1499;14192;3375;29;1651;30;28;6152;26;63
40900;mogilenski;kujawsko-pomorskie;36292;21055;479;1293;9578;3046;31;851;13;23;5670;21;50
41000;nakielski;kujawsko-pomorskie;65792;38332;763;2136;16013;6631;54;1093;48;39;11452;30;73
41100;radziejowski;kujawsko-pomorskie;33043;18784;303;857;10820;2165;31;645;16;20;3874;17;36
41200;rypinski;kujawsko-pomorskie;34325;19082;369;939;9864;2355;25;610;23;19;4823;23;32
41300;sepolenski;kujawsko-pomorskie;31263;17648;336;867;7924;2936;24;458;13;21;5011;21;37
41400;swiecki;kujawsko-pomorskie;75224;42920;826;2519;18399;7086;66;1135;31;78;12670;29;81
41500;torunski;kujawsko-pomorskie;81313;50569;1061;3506;19818;8583;75;1213;41;76;16046;43;107
41600;tucholski;kujawsko-pomorskie;37661;22804;403;1474;11201;3458;38;610;24;28;5495;28;45
41700;wabrzeski;kujawsko-pomorskie;26399;14401;266;1041;6254;1796;21;475;14;22;4446;20;46
