"code";"name";"avg_salary"
"20000";"dolnoslaskie";5693
"20100";"boleslawiecki";4887
"20200";"dzierzoniowski";4690
"20300";"glogowski";4763
"20400";"gorowski";4432
"20500";"jaworski";4932
"20600";"karkonoski";4526
"20700";"kamiennogorski";4532
"20800";"klodzki";4747
"20900";"legnicki";4877
"21000";"lubanski";4508
"21100";"lubinski";8920
"21200";"lwowecki";4622
"21300";"milicki";4338
"21400";"olesnicki";4773
"21500";"olawski";4987
"21600";"polkowicki";5606
"21700";"strzelinski";5161
"21800";"sredzki";5260
"21900";"swidnicki";5053
"22000";"trzebnicki";4611
"22100";"walbrzyski";4385
"22200";"wolowski";5907
"22300";"wroclawski";5868
"22400";"zabkowicki";4556
"22500";"zgorzelecki";4881
"22600";"zlotoryjski";5118
"26100";"jeleniagora";5183
"26200";"legnica";4952
"26400";"wroclaw";6140
"26500";"walbrzychod2013";5565
"40000";"kujawsko-pomorskie";4831
"40100";"aleksandrowski";4138
"40200";"brodnicki";4291
"40300";"bydgoski";4752
"40400";"chelminski";4492
"40500";"golubsko-dobrzynski";4974
"40600";"grudziadzki";4677
"40700";"inowroclawski";4597
"40800";"lipnowski";4106
"40900";"mogilenski";4263
"41000";"nakielski";4423
"41100";"radziejowski";4320
"41200";"rypinski";4219
"41300";"sepolenski";4308
"41400";"swiecki";4858
"41500";"torunski";4394
"41600";"tucholski";4208
"41700";"wabrzeski";4709
"41800";"wloclawski";4383
"41900";"zninski";4285
"46100";"bydgoszcz";5252
"46200";"grudziadz";4414
"46300";"torun";5331
"46400";"wloclawek";4889
"60000";"lubelskie";4914
"60100";"bialski";4258
"60200";"bilgorajski";4522
"60300";"chelmski";4291
"60400";"hrubieszowski";4518
"60500";"janowski";4437
"60600";"krasnostawski";4548
"60700";"krasnicki";4244
"60800";"lubartowski";4369
"60900";"lubelski";4253
"61000";"leczynski";6391
"61100";"lukowski";4146
"61200";"opolski";4252
"61300";"parczewski";4478
"61400";"pulawski";5311
"61500";"radzynski";4385
"61600";"rycki";4386
"61700";"swidnicki";5074
"61800";"tomaszowski";4337
"61900";"wlodawski";4333
"62000";"zamojski";4135
"66100";"bialapodlaska";4504
"66200";"chelm";4581
"66300";"lublin";5412
"66400";"zamosc";5013
"80000";"lubuskie";4832
"80100";"gorzowski";5012
"80200";"krosnienski";4765
"80300";"miedzyrzecki";4569
"80400";"nowosolski";4625
"80500";"slubicki";4480
"80600";"strzelecko-drezdenecki";4560
"80700";"sulecinski";4292
"80800";"swiebodzinski";4659
"80900";"zielonogorski";5037
"81000";"zaganski";4484
"81100";"zarski";5047
"81200";"wschowski";4470
"86100";"gorzowwielkopolski";4788
"86200";"zielonagora";5212
"100000";"lodzkie";5148
"100100";"belchatowski";7002
"100200";"kutnowski";4786
"100300";"laski";4162
"100400";"leczycki";4822
"100500";"lowicki";4460
"100600";"lodzkiwschodni";4423
