"zip_code";"county";"voivodeship";"number_of_eligible_voters";"number_of_votes";"andrzej_duda";"rafal_trzaskowski"
"20100";"boleslawiecki";"dolnoslaskie";67800;42247;20966;21281
"20200";"dzierzoniowski";"dolnoslaskie";77836;48342;24383;23959
"20300";"glogowski";"dolnoslaskie";66323;43879;22722;21157
"20400";"gorowski";"dolnoslaskie";26736;15715;8957;6758
"20500";"jaworski";"dolnoslaskie";39507;24537;13358;11179
"20600";"jeleniogorski";"dolnoslaskie";54592;36356;13131;23225
"20700";"kamiennogorski";"dolnoslaskie";33809;20866;9920;10946
"20800";"klodzki";"dolnoslaskie";129045;80308;37276;43032
"20900";"legnicki";"dolnoslaskie";41869;27209;15259;11950
"21000";"lubanski";"dolnoslaskie";43150;26722;12096;14626
"21100";"lubinski";"dolnoslaskie";79505;52831;29704;23127
"21200";"lwowecki";"dolnoslaskie";35812;21234;10206;11028
"21300";"milicki";"dolnoslaskie";28856;18372;10153;8219
"21400";"olesnicki";"dolnoslaskie";81819;52985;25524;27461
"21500";"olawski";"dolnoslaskie";58184;40003;19825;20178
"21600";"polkowicki";"dolnoslaskie";46926;30124;18597;11527
"21700";"strzelinski";"dolnoslaskie";35011;23029;13199;9830
"21800";"sredzki";"dolnoslaskie";42361;27987;14656;13331
"21900";"swidnicki";"dolnoslaskie";120298;77576;36334;41242
"22000";"trzebnicki";"dolnoslaskie";65963;44905;22627;22278
"22100";"walbrzyski";"dolnoslaskie";43390;26772;11265;15507
"22200";"wolowski";"dolnoslaskie";37493;23879;12847;11032
"22300";"wroclawski";"dolnoslaskie";114486;84508;35366;49142
"22400";"zabkowicki";"dolnoslaskie";51235;31542;17141;14401
"22500";"zgorzelecki";"dolnoslaskie";69163;42866;20352;22514
"22600";"zlotoryjski";"dolnoslaskie";33719;21014;10788;10226
"26100";"Jelenia Gora";"dolnoslaskie";60866;40445;14403;26042
"26200";"Legnica";"dolnoslaskie";72273;46830;21190;25640
"26400";"Wroclaw";"dolnoslaskie";501319;365345;121958;243387
"26500";"Walbrzych";"dolnoslaskie";81030;49512;19628;29884
"40100";"aleksandrowski";"kujawsko-pomorskie";45431;29657;16198;13459
"40200";"brodnicki";"kujawsko-pomorskie";60724;38317;21478;16839
"40300";"bydgoski";"kujawsko-pomorskie";89345;61664;24536;37128
"40400";"chelminski";"kujawsko-pomorskie";38321;23250;11618;11632
"40500";"golubsko-dobrzynski";"kujawsko-pomorskie";35036;21568;12907;8661
"40600";"grudziadzki";"kujawsko-pomorskie";30558;18042;10350;7692
"40700";"inowroclawski";"kujawsko-pomorskie";124249;78506;36641;41865
"40800";"lipnowski";"kujawsko-pomorskie";51610;30162;18164;11998
"40900";"mogilenski";"kujawsko-pomorskie";36264;22398;11926;10472
"41000";"nakielski";"kujawsko-pomorskie";65229;40675;20058;20617
"41100";"radziejowski";"kujawsko-pomorskie";33286;20876;13477;7399
"41200";"rypinski";"kujawsko-pomorskie";34170;20926;12569;8357
"41300";"sepolenski";"kujawsko-pomorskie";31132;18983;9882;9101
"41400";"swiecki";"kujawsko-pomorskie";75066;46078;23411;22667
"41500";"torunski";"kujawsko-pomorskie";80713;52915;25117;27798
"41600";"tucholski";"kujawsko-pomorskie";38000;24452;13980;10472
"41700";"wabrzeski";"kujawsko-pomorskie";26062;15415;7935;7480
"41800";"wloclawski";"kujawsko-pomorskie";69407;43021;25230;17791
"41900";"zninski";"kujawsko-pomorskie";54278;34180;17762;16418
"46100";"Bydgoszcz";"kujawsko-pomorskie";255625;177857;66131;111726
"46200";"Grudziadz";"kujawsko-pomorskie";67400;42638;17782;24856
"46300";"Torun";"kujawsko-pomorskie";147733;103899;38332;65567
"46400";"Wloclawek";"kujawsko-pomorskie";83294;53721;21244;32477
"60100";"bialski";"lubelskie";87609;55276;38924;16352
"60200";"bilgorajski";"lubelskie";80984;52605;39532;13073
"60300";"chelmski";"lubelskie";62527;36568;26523;10045
"60400";"hrubieszowski";"lubelskie";51809;30178;21601;8577
"60500";"janowski";"lubelskie";36801;25883;21795;4088
"60600";"krasnostawski";"lubelskie";52360;31839;22100;9739
"60700";"krasnicki";"lubelskie";75402;48896;35542;13354
"60800";"lubartowski";"lubelskie";70086;46708;33693;13015
"60900";"lubelski";"lubelskie";121756;83354;56890;26464
"61000";"leczynski";"lubelskie";44143;28993;20528;8465
"61100";"lukowski";"lubelskie";82375;57118;44231;12887
"61200";"opolski";"lubelskie";47984;30596;22414;8182
"61300";"parczewski";"lubelskie";28358;17908;12228;5680
"61400";"pulawski";"lubelskie";91520;62463;38844;23619
"61500";"radzynski";"lubelskie";47193;30335;22736;7599
"61600";"rycki";"lubelskie";44301;30523;21319;9204
"61700";"swidnicki";"lubelskie";56029;37306;24088;13218
"61800";"tomaszowski";"lubelskie";68062;41234;30349;10885
